,Country,Total_cases,New_cases,Total_deaths,New_deaths,Total_recovered,Active_cases,Serious,Case_per_million,Deaths_per_million,Total_tests,Tests_per_million
23,Belarus,29650,969,165.0,5,9932.0,19553.0,92.0,3138.0,17.0,350515.0,37093.0
24,Portugal,29036,226,1218.0,15,4636.0,23182.0,108.0,2847.0,119.0,618066.0,60593.0
25,Singapore,28038,682,22.0,0,9340.0,18676.0,16.0,4797.0,4.0,246254.0,42133.0
26,Ireland,24048,0,1533.0,0,19470.0,3045.0,54.0,4877.0,311.0,258808.0,52488.0
27,UAE,23358,731,220.0,6,8512.0,14626.0,1.0,2365.0,22.0,1600923.0,162114.0
28,Bangladesh,22268,1273,328.0,14,4373.0,17567.0,1.0,135.0,2.0,175228.0,1065.0
29,Poland,18529,272,925.0,10,7451.0,10153.0,160.0,490.0,24.0,620249.0,16386.0
30,Ukraine,18291,433,514.0,17,5116.0,12661.0,238.0,418.0,12.0,227801.0,5205.0
31,Indonesia,17514,489,1148.0,59,4129.0,12237.0,11.5,64.0,4.0,187965.0,688.0
32,Romania,16871,167,1104.0,10,9890.0,5877.0,205.0,876.0,57.0,310407.0,16123.0
33,Israel,16607,0,271.0,3,12884.0,3452.0,50.0,1923.0,31.0,498711.0,57733.0
34,Austria,16242,41,629.0,0,14563.0,1050.0,48.0,1805.0,70.0,362509.0,40278.0
35,Japan,16237,0,725.0,0,10338.0,5174.0,232.0,128.0,6.0,240368.0,1900.0
36,Colombia,14939,0,562.0,0,3587.0,10790.0,136.0,294.0,11.0,190114.0,3741.0
37,Kuwait,14850,1048,112.0,5,4093.0,10645.0,168.0,3484.0,26.0,244476.0,57355.0
38,South Africa,14355,0,261.0,0,6478.0,7616.0,119.0,242.0,4.0,439559.0,7423.0
39,Philippines,12513,208,824.0,7,2635.0,9054.0,79.0,114.0,8.0,215060.0,1966.0
40,Dominican Republic,12314,204,428.0,0,5847.0,6039.0,127.0,1137.0,40.0,50108.0,4625.0
41,Egypt,11719,0,612.0,0,2950.0,8157.0,41.0,115.0,6.0,135000.0,1322.0
42,S. Korea,11050,13,262.0,0,9888.0,900.0,55.0,216.0,5.0,747653.0,14584.0
43,Denmark,10927,69,547.0,4,9227.0,1153.0,27.0,1887.0,94.0,455613.0,78693.0
44,Serbia,10610,114,230.0,2,4713.0,5667.0,18.0,1214.0,26.0,181272.0,20737.0
45,Panama,9449,181,269.0,3,6080.0,3100.0,72.0,2194.0,62.0,49104.0,11403.0
